Name	rgb1	rgb2	rgb3	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
'singles-BM0828-MPP-frozen-151103-6'	0.274509804	0.62745098	0.250980392	2.609308962	3.287300974	1.18618694	0.47054705	-0.852369453	-0.109391902	0.427260102	-0.248836451	0.038466613	-0.103352376
'singles-BM0828-MPP-frozen-151103-8'	0.274509804	0.62745098	0.250980392	2.237834966	1.83584541	1.412352982	-0.441436729	-0.28240285	0.71017091	0.36032655	0.452017565	-0.150259262	0.015730886
'singles-BM0828-MPP-frozen-151103-9'	0.274509804	0.62745098	0.250980392	2.53080445	2.223402954	0.690566359	-0.47281364	-0.110407569	0.537030734	-0.237982321	-0.045548932	0.269517288	-0.003018642
'singles-BM0828-MPP-frozen-151103-10'	0.274509804	0.62745098	0.250980392	2.025539242	2.597208847	0.366442651	-0.317054175	0.024425814	0.714453269	0.076272991	0.281717861	0.205856831	0.022591517
'singles-BM0828-MPP-frozen-151103-16'	0.274509804	0.62745098	0.250980392	0.912768417	2.549101391	2.092240471	-0.263196927	-0.558313233	0.738914006	0.591903124	0.385243389	-0.134506291	0.10924796
'singles-BM0828-MPP-frozen-151103-17'	0.274509804	0.62745098	0.250980392	2.693909193	1.967674823	0.44084598	-0.182690433	-0.176770409	0.747825845	0.003117595	-0.087778851	0.219550485	0.156555232
'singles-BM0828-MPP-frozen-151103-18'	0.274509804	0.62745098	0.250980392	-0.380587941	3.036698964	3.026691612	-0.845488388	-2.152900853	0.264557819	0.205201968	-0.00876006	0.13674226	0.176822734
'singles-BM0828-MPP-frozen-151103-19'	0.274509804	0.62745098	0.250980392	2.263372262	1.912677021	1.193225206	-0.822859984	-0.966310683	0.394915866	-0.146650895	-0.369856327	0.500533941	0.026070866
'singles-BM0828-MPP-frozen-151103-23'	0.274509804	0.62745098	0.250980392	1.834301864	2.478460569	1.098520936	-0.338788504	0.034858421	0.57197293	0.15671721	0.563225252	0.089031252	0.102009863
'singles-BM0828-MPP-frozen-151103-24'	0.274509804	0.62745098	0.250980392	1.857942419	2.449945276	0.677453996	-0.889099223	-0.854921123	0.561861345	-0.093858752	-0.29854781	0.438155779	0.00417135
'singles-BM0828-MPP-frozen-151103-25'	0.274509804	0.62745098	0.250980392	-1.545669062	5.207179058	-0.261088517	0.470094499	0.049644706	0.178976806	0.282345486	-0.141333492	-0.017451623	-0.062772657
'singles-BM0828-MPP-frozen-151103-26'	0.274509804	0.62745098	0.250980392	3.765286554	1.147932611	1.557940948	-0.412403322	-1.068083995	-0.279479789	0.135981796	-0.454232598	-0.13384216	-0.149718291
'singles-BM0828-MPP-frozen-151103-27'	0.274509804	0.62745098	0.250980392	2.722537186	1.908007186	2.043643729	-0.532983853	-1.141486204	0.108788367	0.483163431	0.148577431	-0.196560822	0.033739198
'singles-BM0828-MPP-frozen-151103-28'	0.274509804	0.62745098	0.250980392	4.123263297	0.842150354	1.465701445	-0.278339183	-0.067601149	-0.41823011	-0.172850228	-0.065660658	-0.225463064	0.015324854
'singles-BM0828-MPP-frozen-151103-30'	0.274509804	0.62745098	0.250980392	1.441030739	3.477722327	0.479142734	-0.337634432	-0.376921562	0.521223921	0.055399696	0.389490791	0.073751816	-0.177987402
'singles-BM0828-MPP-frozen-151103-31'	0.274509804	0.62745098	0.250980392	1.096416999	2.578793051	2.69197674	-0.910281607	-1.668005561	0.118069628	0.265711678	-0.147879138	0.077299121	-0.007648036
'singles-BM0828-MPP-frozen-151103-32'	0.274509804	0.62745098	0.250980392	2.499301888	2.747710931	1.924039636	-0.010354155	-0.626133633	0.23104159	0.413319305	-0.092341143	-0.119206742	-0.016446787
'singles-BM0828-MPP-frozen-151103-35'	0.274509804	0.62745098	0.250980392	1.020084567	2.384471689	-0.018860479	-0.458092973	0.199050456	0.90163637	-0.220207769	-0.029220602	0.482966854	0.115112639
'singles-BM0828-MPP-frozen-151103-36'	0.274509804	0.62745098	0.250980392	-3.896802207	4.960567272	-1.418927768	0.138174466	0.331945661	0.14199479	-0.340488823	0.37317957	0.273047661	-0.06773671
'singles-BM0828-MPP-frozen-151103-37'	0.274509804	0.62745098	0.250980392	2.337557156	2.057603979	2.249723571	-0.455647352	-0.58717762	0.457834199	0.21106979	0.134936095	-0.122679949	0.070006328
'singles-BM0828-MPP-frozen-151103-38'	0.274509804	0.62745098	0.250980392	1.651460284	2.669617649	2.201241064	-0.627870074	-1.372873091	0.255065234	0.487193749	-0.108909594	0.009300218	-0.061663075
'singles-BM0828-MPP-frozen-151103-40'	0.274509804	0.62745098	0.250980392	0.946288618	2.580754299	2.467578552	-0.838533976	-1.310866855	0.530023378	0.314415183	0.212159877	-0.152844052	-0.029391136
'singles-BM0828-MPP-frozen-151103-41'	0.274509804	0.62745098	0.250980392	0.37455571	2.601113097	0.304541889	0.211344082	0.231709754	0.979547359	0.295891216	0.216104267	0.002646434	0.493419565
'singles-BM0828-MPP-frozen-151103-42'	0.274509804	0.62745098	0.250980392	2.989447941	1.837647502	1.210935372	0.19764132	-0.174944754	0.484511196	0.379115525	0.251271127	-0.06267038	0.203104629
'singles-BM0828-MPP-frozen-151103-43'	0.274509804	0.62745098	0.250980392	-0.559499726	2.522931244	-0.346512932	-0.834041625	0.118010621	1.034706289	-0.289098936	-0.282811263	0.675486351	0.080899708
'singles-BM0828-MPP-frozen-151103-44'	0.274509804	0.62745098	0.250980392	2.763250148	-0.6418003	1.508349251	-0.723689114	-0.229183999	-0.118183062	-1.017150394	-0.133920435	0.20106371	0.22263528
'singles-BM0828-MPP-frozen-151103-47'	0.274509804	0.62745098	0.250980392	-1.049286384	3.129511315	-0.427669385	1.142211119	0.625161009	0.526157873	0.153166468	0.627346345	-0.299415487	0.077793022
'singles-BM0828-MPP-frozen-151103-48'	0.274509804	0.62745098	0.250980392	2.179220624	1.561786537	2.917826258	-0.436483182	-1.421492844	-0.367076686	0.115356029	0.23674422	-0.312368851	0.123613522
'singles-BM0828-MPP-frozen-151103-49'	0.274509804	0.62745098	0.250980392	2.536172684	1.445253033	2.948948237	-0.507633692	-1.082228316	-0.309656655	0.075534745	0.198924611	-0.212471261	0.032951293
'singles-BM0828-MPP-frozen-151103-50'	0.274509804	0.62745098	0.250980392	3.396404267	1.807323277	1.811425124	-0.180507881	-0.820901773	-0.304986816	0.197429766	-0.43072171	-0.026215571	0.124984145
'singles-BM0828-MPP-frozen-151103-51'	0.274509804	0.62745098	0.250980392	3.723226838	1.587557236	1.439744617	0.399126652	0.122995432	0.145851475	0.153230058	-0.134505579	-0.194771918	0.024630829
'singles-BM0828-MPP-frozen-151103-52'	0.274509804	0.62745098	0.250980392	2.091291677	2.041887566	0.887668497	-0.625126513	-0.278747828	0.743425405	0.009528477	0.184818245	0.440992493	0.062741031
'singles-BM0828-MPP-frozen-151103-53'	0.274509804	0.62745098	0.250980392	1.55433199	3.061717247	1.650419836	-0.780380832	-0.984220313	0.482507195	0.126571627	-0.156572171	0.17146367	-0.012396517
